Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity
Volkswagen AG,3/31/2017,19695988685,1329397719,24520605687,58120450678,33599844991,2.287314883,3.956559082,0.729783298
Volkswagen AG,6/30/2017,7201825633,722080990.6,27556950386,53860356064,26303405678,1.340653949,2.745199612,1.047657126
Volkswagen AG,9/30/2017,15706422457,2263166301,11556351337,26096752248,14540400911,8.672214379,15.56467607,0.794775289
Volkswagen AG,12/31/2017,9750496618,516889818.4,21354201295,54861302788,33507101493,0.942175618,1.542627668,0.637303746
Volkswagen AG,3/31/2018,15989256775,1291419013,42659096630,53863933584,11204836955,2.397557934,11.52554935,3.807203693
Volkswagen AG,6/30/2018,6601886883,674015397.4,48397997453,95156833814,46758836361,0.708320538,1.441471709,1.035055643
Volkswagen AG,9/30/2018,11494666314,1658196131,14924498356,62462464157,47537965801,2.654708156,3.488151213,0.313949032
Volkswagen AG,12/31/2018,15132692627,1296423798,22603216585,52612061095,30008844510,2.464119008,4.32013901,0.753218491
Volkswagen AG,3/31/2019,14907937768,1438598483,20854112480,54405171112,33551058632,2.644231152,4.287788646,0.621563472
Volkswagen AG,6/30/2019,8797334817,1311084923,25365853191,40151924792,14786071601,3.265310268,8.867026743,1.715523492
Volkswagen AG,9/30/2019,10142417014,1306294910,21657205056,33344564963,11687359907,3.917564711,11.17698882,1.853045104
Volkswagen AG,12/31/2019,15448794996,1760261975,43856467673,93429721556,49573253883,1.884049257,3.550830008,0.884680029
Volkswagen AG,3/31/2020,15933280023,1743770422,44490184859,59864740520,15374555661,2.912850548,11.34192402,2.89375419
Volkswagen AG,6/30/2020,7895384436,511149178.9,17592686846,61107816340,43515129494,0.836471027,1.174647036,0.404288969
Volkswagen AG,9/30/2020,12436929028,1654939942,49496396884,90362459109,40866062225,1.831446331,4.049668237,1.211185864
Volkswagen AG,12/31/2020,6074909806,875656602.5,42262965768,80569106208,38306140440,1.086839167,2.285943174,1.103294806
Volkswagen AG,3/31/2021,19710269369,1137314233,36066540496,64427162211,28360621715,1.765271344,4.010187943,1.271711913
Volkswagen AG,6/30/2021,12858026662,1124878943,17059669622,65938237159,48878567538,1.705958471,2.301374609,0.349021473
Volkswagen AG,9/30/2021,10294096366,1404729444,27027656894,48359524775,21331867881,2.904762713,6.58512162,1.267008452
Volkswagen AG,12/31/2021,11544833810,1709962819,14660160673,40260511363,25600350690,4.247245654,6.679450762,0.572654682
Volkswagen AG,3/31/2022,17383281301,2467286454,26847350661,44033610784,17186260123,5.603189041,14.35615681,1.562140365
Volkswagen AG,6/30/2022,12314464977,1478784803,25112871815,44050938495,18938066680,3.356988191,7.808530977,1.326052561
Volkswagen AG,9/30/2022,10260879440,889227522,10690275300,28159139854,17468864554,3.157864646,5.090356727,0.611961657
Volkswagen AG,12/31/2022,11168902003,587168043.4,20072750684,67464272122,47391521437,0.870339255,1.238972765,0.423551515
Volkswagen AG,3/31/2023,13460197722,1122578628,37590881745,71858135493,34267253748,1.562215079,3.275951543,1.096991373
Volkswagen AG,6/30/2023,12729418594,1662688493,39022576433,81451183390,42428606957,2.041331291,3.918791148,0.919723254
Volkswagen AG,9/30/2023,11664866018,1677667162,15998323030,33372541902,17374218871,5.027088338,9.65607245,0.92080819
Volkswagen AG,12/31/2023,16782030250,1481049554,32384571623,78417189252,46032617629,1.888679725,3.217391559,0.70351358
Volkswagen AG,3/31/2024,7309084994,1039334580,30910642675,64531416585,33620773909,1.61058696,3.091346389,0.91939117
Volkswagen AG,6/30/2024,13076152982,1526410746,24545656357,68124372355,43578715998,2.240623573,3.502651951,0.563248728
Volkswagen AG,9/30/2024,9752432683,970590418.5,31255665329,70790020629,39534355300,1.371083678,2.455055637,0.790595043
Volkswagen AG,12/31/2024,14186610709,2107123762,14632441063,32642980976,18010539913,6.455059247,11.69939253,0.812437669
Siemens AG,3/31/2017,19833452617,1519697640,16063730954,53272532961,37208802008,2.852685156,4.084242325,0.431718574
Siemens AG,6/30/2017,9065572324,736570414.4,47957169639,95650487131,47693317491,0.770064468,1.544389137,1.005532267
Siemens AG,9/30/2017,5703877749,588622371.4,24982736979,39727077870,14744340891,1.481665411,3.992191823,1.694394966
Siemens AG,12/31/2017,19716237464,1276840007,45009303223,75268101508,30258798286,1.696389282,4.219731382,1.487478214
Siemens AG,3/31/2018,10138254767,1262116952,45296373926,72972094010,27675720085,1.729588508,4.5603762,1.63668276
Siemens AG,6/30/2018,11314535587,1340341283,33163887180,56794362553,23630475373,2.359990011,5.672087683,1.403437157
Siemens AG,9/30/2018,12634974138,741274735,28126694879,40432233302,12305538423,1.833375687,6.023911425,2.285693962
Siemens AG,12/31/2018,9738110535,1128540207,47796930083,86681431720,38884501637,1.301939971,2.902287954,1.229202589
Siemens AG,3/31/2019,11643264079,1453293868,35825693285,75665486452,39839793167,1.920682647,3.647844912,0.899243958
Siemens AG,6/30/2019,6550073893,733627118.4,19919552350,37424903073,17505350723,1.960264578,4.190873579,1.137912211
Siemens AG,9/30/2019,16654538457,1322270205,29781715108,63506323345,33724608237,2.082107947,3.920787444,0.883085577
Siemens AG,12/31/2019,12841952642,1411970100,29126693633,55130546327,26003852694,2.561139322,5.429849634,1.120091472
